ts,duty_cycle,acc,speed_l,speed_r,speed_avg
1649720817619,19,0.5363965811965812,113.58868677587215,98.62052123783252,106.10460400685233
1649720817652,19,0.27777680097680096,105.98904906684295,88.59625988939456,97.29265447811875
1649720817685,19,-0.6896527472527472,100.41203644305621,98.73386022626386,99.57294833466003
1649720817719,19,-0.3927189255189255,105.32910006317603,110.62989978882013,107.97949992599808
1649720817752,19,-0.21072722832722832,104.42674539595089,94.71114348144417,99.56894443869753
1649720817785,19,0.3831404151404151,114.1644096425193,97.96070490156819,106.06255727204375
1649720817819,19,-0.8045948717948718,102.43256902891858,96.47459907667084,99.45358405279471
1649720817852,19,0.1340991452991453,98.67460784439818,94.71586484494895,96.69523634467356
1649720817885,19,-0.5747106227106227,93.84844695828495,96.49416886881741,95.17130791355117
1649720817919,19,0.33524786324786326,103.49931256513744,95.44810840251209,99.47371048382476
1649720817952,19,0.22988424908424906,106.40142390399009,85.15953826684073,95.7804810854154
1649720818019,19,-0.7758593406593406,89.42687856374121,91.65106106007596,90.53896981190859
1649720818052,19,-0.16283467643467642,82.96462967649288,92.47934313594419,87.72198640621853
1649720818085,19,-0.06704957264957265,83.35232750639508,83.78999182669216,83.57115966654362
1649720818119,19,0.5268180708180709,85.9716739803429,78.01371014117186,81.99269206075738
1649720818152,19,-0.28735531135531134,74.86088380506554,74.5511337569904,74.70600878102798
1649720818185,19,-0.32566935286935284,69.30970133702964,71.9611220804922,70.63541170876093
1649720818219,19,0.019157020757020755,68.36910339646904,78.42098146893088,73.39504243269997
1649720818252,19,0.15325616605616604,62.77559104267511,69.47565438319518,66.12562271293514
1649720818285,19,-0.019157020757020755,76.61056624274644,63.73587528865425,70.17322076570035
1649720818319,19,0.42145445665445663,89.70450780178864,58.51606573555286,74.11028676867075
1649720818352,19,-0.2490412698412698,88.1311871553501,56.55225239630232,72.34171977582622
1649720818385,19,-0.37356190476190476,76.89225122276251,65.41777355898785,71.15501239087519
1649720818419,19,-0.11494212454212453,65.5062952336904,71.16116262269259,68.33372892819149
1649720818452,19,-0.028735531135531133,61.398312304253864,71.63637527571275,66.5173437899833
1649720818485,19,-0.28735531135531134,68.9875089130743,66.96383897286128,67.97567394296779
1649720818519,19,-0.32566935286935284,71.47625992938366,61.26143529011612,66.36884760974989
1649720818585,19,-0.21072722832722832,70.24818004741493,57.187567163715485,63.71787360556521
1649720818619,19,-0.1724131868131868,58.777758198157116,53.9255483186808,56.351653258418956
1649720818652,19,-0.028735531135531133,50.478839760777134,53.76840781406527,52.1236237874212
1649720818685,19,0.28735531135531134,43.70704756799874,53.64970171105474,48.67837463952674
1649720818719,19,0.22988424908424906,50.23624159024658,55.6731319724187,52.95468678133264
1649720818752,19,-0.06704957264957265,59.82581942701087,52.93567857168965,56.38074899935026
1649720818785,19,-0.019157020757020755,83.86620596296947,51.292469088157816,67.57933752556364
1649720818819,19,0.2203057387057387,84.61745332408495,54.7586847206435,69.68806902236423
1649720818852,19,-0.4789255189255189,74.81350826312891,56.236903688254785,65.52520597569185
1649720818885,19,0.2681982905982906,77.62430734843821,68.39954261738212,73.01192498291016
